route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
15,15,t781-b232A-slF,"Titus Towers - Wegmans - Walmart",1,9002,39483_shp,0,0
15,15,t795-b232A-slF,"Walmart-Titus Towers-Commons@Green St",0,9002,39630_shp,0,0
15,15,t7E5-b2333-slF,"Titus Towers - Wegmans - Walmart",1,9011,39483_shp,0,0
15,15,t7F9-b2333-slF,"Walmart-Titus Towers-Commons@Green St",0,9011,39630_shp,0,0
17,12,t226-b1F42-slC,"Downtown",0,8002,39682_shp,0,0
17,12,t22B-b1F43-slC,"Downtown",0,8003,39682_shp,0,0
17,12,t262-b1F44-slC,"Downtown",0,8004,39682_shp,0,0
17,12,t26A-b1F46-slC,"Downtown",0,8006,39682_shp,0,0
17,12,t26A-b1F48-slC,"Downtown",0,8008,39682_shp,0,0
17,12,t26C-b1F45-slC,"Downtown",0,8005,39682_shp,0,0
17,12,t273-b1F49-slC,"Downtown",0,8009,39682_shp,0,0
17,12,t274-b1F4A-slC,"Downtown",0,8010,39682_shp,0,0
17,12,t278-b1F4B-slC,"Downtown",0,8011,39682_shp,0,0
17,12,t285-b1F4F-slC,"Downtown",0,8015,39571_shp,0,0
17,12,t288-b1F50-slC,"Downtown",0,8016,39682_shp,0,0
17,12,t290-b1F52-slC,"Downtown",0,8018,39682_shp,0,0
17,12,t291-b1F53-slC,"Downtown",0,8019,39571_shp,0,0
17,12,t332-b1F58-slC,"Downtown",0,8024,39682_shp,0,0
17,12,t33B-b1F59-slC,"Downtown",0,8025,39571_shp,0,0
17,12,t421-b1F49-slC,"Downtown - TCAT",1,8009,39499_shp,0,0
17,12,t47A-b1F59-slC,"Downtown - TCAT",1,8025,39542_shp,0,0
17,12,t47F-b1F54-slC,"Downtown - TCAT",1,8020,39499_shp,0,0
17,12,t585-b1F5A-slC,"Downtown",0,8026,39682_shp,0,0
17,12,t585-b1F5B-slC,"Downtown",0,8027,39682_shp,0,0
17,12,t64C-b1F5C-slC,"Downtown - Cornell",0,8028,39558_shp,0,0
17,12,t6C6-b1F45-slC,"Downtown - TCAT",1,8005,39499_shp,0,0
17,12,t6C8-b1F53-slC,"Downtown - TCAT",1,8019,39542_shp,0,0
17,12,t6C9-b1F43-slC,"Downtown - TCAT",1,8003,39542_shp,0,0
17,12,t6D5-b1F57-slC,"Downtown - TCAT",1,8023,39499_shp,0,0
17,12,t6DD-b1F4F-slC,"Downtown - TCAT",1,8015,39542_shp,0,0
17,12,t77C-b1F4C-slC,"Downtown - TCAT",1,8012,39499_shp,0,0
